unit_id,ano_serie,bimestre,titulo,habilidade_principal,avaliacoes,produto_final
ef6-b1-generos-multimodais,6º Ano Fundamental,1,Tirinhas Memes e Linguagem Multimodal,EF69LP05,"SARESP;AAP;SAEB;Provão Paulista",Tirinha autoral
ef6-b1-classes-palavras,6º Ano Fundamental,1,Substantivos Adjetivos e Artigos,EF06LP04,"SARESP;AAP;SAEB;Provão Paulista",Retrato de personagem
ef6-b2-narrativa,6º Ano Fundamental,2,Conto Narrador e Tempo Verbal,EF67LP30,"SARESP;AAP;SAEB;Provão Paulista",Conto breve
ef6-b2-pontuacao,6º Ano Fundamental,2,Pontuação e Discurso Direto,EF06LP10,"SARESP;AAP;SAEB;Provão Paulista",Diálogo narrativo
ef6-b3-noticia,6º Ano Fundamental,3,Notícia Manchete e Informação,EF67LP01,"SARESP;AAP;SAEB;Provão Paulista",Notícia escolar
ef6-b4-revisao-gramatical,6º Ano Fundamental,4,Revisão Geral Coesão Ortografia e Concordância,EF69LP56,"SARESP;AAP;SAEB;Provão Paulista",Portfólio revisado
ef7-b1-fake-news,7º Ano Fundamental,1,Fake News e Checagem de Fatos,EF67LP02,"SARESP;AAP;SAEB;Provão Paulista",Guia de checagem
ef7-b1-pronomes,7º Ano Fundamental,1,Pronomes Referência e Coesão,EF07LP12,"SARESP;AAP;SAEB;Provão Paulista",Biografia curta
ef7-b2-verbo,7º Ano Fundamental,2,Verbos Modos e Efeitos de Sentido,EF07LP04,"SARESP;AAP;SAEB;Provão Paulista",Manual de convivência
ef7-b2-cronica,7º Ano Fundamental,2,Crônica e Observação do Cotidiano,EF69LP51,"SARESP;AAP;SAEB;Provão Paulista",Crônica escolar
ef7-b3-periodo-composto,7º Ano Fundamental,3,Período Composto e Conectivos,EF07LP11,"SARESP;AAP;SAEB;Provão Paulista",Parágrafo argumentativo
ef7-b4-seminario,7º Ano Fundamental,4,Seminário Roteiro e Oralidade,EF69LP38,"SARESP;AAP;SAEB;Provão Paulista",Roteiro de apresentação
em2-b1-argumentacao,2ª Série Médio,1,Tese Argumentos e Operadores Argumentativos,EM13LP01,"SAEB;ENEM;Provão Paulista",Artigo de opinião
em2-b1-literatura-realismo,2ª Série Médio,1,Realismo Naturalismo e Crítica Social,EM13LP48,"SAEB;ENEM;Provão Paulista",Análise crítica
em2-b2-regencia-crase,2ª Série Médio,2,Regência Crase e Norma-Padrão,EM13LP08,"SAEB;ENEM;Provão Paulista",Revisão comentada
em2-b2-resenha,2ª Série Médio,2,Resenha Crítica e Repertório Cultural,EM13LP30,"SAEB;ENEM;Provão Paulista",Resenha crítica
em2-b3-modernismo,2ª Série Médio,3,Modernismo e Identidade Brasileira,EM13LP49,"SAEB;ENEM;Provão Paulista",Manifesto ou poema comentado
em2-b4-projeto-pesquisa,2ª Série Médio,4,Projeto de Pesquisa e Divulgação Científica,EM13LP32,"SAEB;ENEM;Provão Paulista",Texto de divulgação científica
em3-b1-enem-competencias,3ª Série Médio,1,ENEM Competências e Projeto de Texto,EM13LP06,"ENEM;Provão Paulista",Redação completa
em3-b1-concordancia,3ª Série Médio,1,Concordância Verbal e Nominal Avançada,EM13LP08,"ENEM;Provão Paulista",Revisão de redação
em3-b2-generos-argumentativos,3ª Série Médio,2,Editorial Artigo de Opinião e Carta Aberta,EM13LP15,"ENEM;Provão Paulista",Carta aberta
em3-b2-literatura-contemporanea,3ª Série Médio,2,Literatura Contemporânea e Vozes Plurais,EM13LP52,"ENEM;Provão Paulista",Comentário literário
em3-b3-simulados,3ª Série Médio,3,Simulados Estratégias de Prova e Gestão do Tempo,EM13LP02,"ENEM;Provão Paulista",Diário de desempenho
em3-b4-revisao-final,3ª Série Médio,4,Revisão Final Gramática Literatura e Redação,EM13LP06,"ENEM;Provão Paulista",Redação final comparada
